variant_id,pattern_id,category,difficulty,speedup_clang_O3,min_speedup_across_regimes,resistant
DS-1_v006,DS-1,Data Structure,hard,118.64,118.64,True
DS-1_v007,DS-1,Data Structure,hard,128.95,128.95,True
DS-1_v008,DS-1,Data Structure,hard,257.83,257.83,True
DS-1_v009,DS-1,Data Structure,hard,236.68,236.68,True
DS-1_v010,DS-1,Data Structure,hard,137.37,137.37,True
DS-1_v011,DS-1,Data Structure,hard,52.08,52.08,True
DS-1_v012,DS-1,Data Structure,hard,166.86,166.86,True
DS-1_v013,DS-1,Data Structure,hard,31.45,31.45,True
DS-1_v014,DS-1,Data Structure,hard,165.31,165.31,True
DS-2_v000,DS-2,Data Structure,hard,4.44,4.44,True
DS-2_v001,DS-2,Data Structure,hard,6.03,6.03,True
DS-2_v002,DS-2,Data Structure,hard,3.71,3.71,True
DS-2_v003,DS-2,Data Structure,hard,5.84,5.84,True
DS-2_v004,DS-2,Data Structure,hard,5.38,5.38,True
DS-2_v005,DS-2,Data Structure,hard,3.65,3.65,True
DS-2_v006,DS-2,Data Structure,hard,4.3,4.3,True
DS-2_v007,DS-2,Data Structure,hard,4.7,4.7,True
DS-2_v008,DS-2,Data Structure,hard,3.69,3.69,True
DS-2_v009,DS-2,Data Structure,hard,4.58,4.58,True
DS-2_v010,DS-2,Data Structure,hard,4.75,4.75,True
DS-2_v011,DS-2,Data Structure,hard,4.04,4.04,True
DS-2_v012,DS-2,Data Structure,hard,3.74,3.74,True
DS-2_v013,DS-2,Data Structure,hard,5.57,5.57,True
DS-2_v014,DS-2,Data Structure,hard,5.65,5.65,True
DS-3_v000,DS-3,Data Structure,medium,2.21,2.21,True
DS-3_v001,DS-3,Data Structure,medium,1.99,1.99,False
DS-3_v003,DS-3,Data Structure,medium,2.06,2.06,True
DS-3_v002,DS-3,Data Structure,medium,3.45,3.45,True
DS-3_v004,DS-3,Data Structure,medium,2.71,2.71,True
DS-3_v006,DS-3,Data Structure,medium,1.23,1.23,False
DS-3_v005,DS-3,Data Structure,medium,3.59,3.59,True
DS-3_v007,DS-3,Data Structure,medium,2.89,2.89,True
DS-3_v008,DS-3,Data Structure,medium,3.72,3.72,True
DS-3_v010,DS-3,Data Structure,medium,4.03,4.03,True
DS-3_v009,DS-3,Data Structure,medium,4.09,4.09,True
DS-3_v011,DS-3,Data Structure,medium,1.22,1.22,False
DS-3_v013,DS-3,Data Structure,medium,2.66,2.66,True
DS-3_v012,DS-3,Data Structure,medium,3.56,3.56,True
DS-3_v014,DS-3,Data Structure,medium,3.66,3.66,True
DS-3_v015,DS-3,Data Structure,medium,2.46,2.46,True
DS-3_v016,DS-3,Data Structure,medium,2.29,2.29,True
DS-3_v017,DS-3,Data Structure,medium,1.79,1.79,False
DS-3_v018,DS-3,Data Structure,medium,1.49,1.49,False
DS-4_v000,DS-4,Data Structure Inefficiency,hard,2.75,2.75,True
DS-3_v019,DS-3,Data Structure,medium,2.13,2.13,True
DS-4_v001,DS-4,Data Structure Inefficiency,medium,2.36,2.36,True
DS-4_v002,DS-4,Data Structure Inefficiency,hard,2.18,2.18,True
DS-4_v003,DS-4,Data Structure Inefficiency,medium,7.83,7.83,True
DS-4_v004,DS-4,Data Structure Inefficiency,hard,4.77,4.77,True
DS-4_v005,DS-4,Data Structure Inefficiency,hard,5.69,5.69,True
DS-4_v006,DS-4,Data Structure Inefficiency,medium,1.32,1.32,False
DS-4_v008,DS-4,Data Structure Inefficiency,medium,3.49,3.49,True
DS-4_v007,DS-4,Data Structure Inefficiency,hard,4.87,4.87,True
DS-4_v009,DS-4,Data Structure Inefficiency,medium,5.3,5.3,True
DS-4_v010,DS-4,Data Structure Inefficiency,hard,3.04,3.04,True
DS-4_v011,DS-4,Data Structure Inefficiency,hard,3.62,3.62,True
DS-4_v012,DS-4,Data Structure Inefficiency,hard,5.01,5.01,True
DS-4_v013,DS-4,Data Structure Inefficiency,medium,6.25,6.25,True
