variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
AL-4_v001,AL-4,Algorithmic,hard,False,12363.302,0.000357,12363302.0,True,5323.981,0.000124,5323981.0,True,5197.25,0.000124,5197250.0,True,5462.18,0.00013,5462180.0,True,5732.021,2.8e-05,5732021.0,True
AL-4_v002,AL-4,Algorithmic,hard,False,6003.727,0.000361,6003727.0,True,2717.657,0.000123,2717657.0,True,2578.39,0.000119,2578390.0,True,2576.825,0.00012,2576825.0,True,2557.747,3.9e-05,2557747.0,True
AL-4_v003,AL-4,Algorithmic,hard,False,1665.739,0.000329,1665739.0,True,752.473,9.8e-05,752473.0,True,748.229,0.000108,748229.0,True,736.869,0.000107,736869.0,True,710.425,3.8e-05,710425.0,True
AL-4_v004,AL-4,Algorithmic,hard,False,6295.964,0.000345,6295964.0,True,2777.083,0.000124,2777083.0,True,2743.905,0.000109,2743905.0,True,2748.525,0.000105,2748525.0,True,2800.723,3.2e-05,2800723.0,True
AL-4_v005,AL-4,Algorithmic,hard,False,11838.329,0.000345,11838329.0,True,5539.613,0.000127,5539613.0,True,5732.708,0.000112,5732708.0,True,5378.02,0.000109,5378020.0,True,5206.281,2.8e-05,5206281.0,True
AL-4_v006,AL-4,Algorithmic,hard,False,3074.292,0.000354,3074292.0,True,1366.815,0.000116,1366815.0,True,1377.323,0.000113,1377323.0,True,1321.385,0.000105,1321385.0,True,1389.852,3.9e-05,1389852.0,True
AL-4_v007,AL-4,Algorithmic,hard,False,3069.806,0.000315,3069806.0,True,1347.164,0.000126,1347164.0,True,1365.273,0.000115,1365273.0,True,1339.771,0.000119,1339771.0,True,1340.17,3.6e-05,1340170.0,True
AL-4_v008,AL-4,Algorithmic,hard,False,803.388,0.000285,803388.0,True,367.942,0.00011,367942.0,True,363.176,9.3e-05,363176.0,True,377.673,9.5e-05,377673.0,True,364.432,2.6e-05,364432.0,True
AL-4_v009,AL-4,Algorithmic,hard,False,781.198,0.000282,781198.0,True,333.999,0.000111,333999.0,True,363.145,0.000102,363145.0,True,360.428,0.000119,360428.0,True,355.523,2.9e-05,355523.0,True
AL-4_v010,AL-4,Algorithmic,hard,False,3030.105,0.000314,3030105.0,True,1397.674,0.000106,1397674.0,True,1380.352,0.000114,1380352.0,True,1356.727,0.00014,1356727.0,True,1424.202,3.1e-05,1424202.0,True
AL-4_v011,AL-4,Algorithmic,hard,False,3048.719,0.000342,3048719.0,True,1417.495,0.000115,1417495.0,True,1405.348,0.000117,1405348.0,True,1406.369,0.000112,1406369.0,True,1511.502,3.1e-05,1511502.0,True
AL-4_v012,AL-4,Algorithmic,hard,False,1446.278,0.000294,1446278.0,True,689.537,0.000119,689537.0,True,659.555,0.0001,659555.0,True,654.452,0.000106,654452.0,True,665.535,3.4e-05,665535.0,True
AL-4_v013,AL-4,Algorithmic,hard,False,3010.543,0.000313,3010543.0,True,1427.973,0.000107,1427973.0,True,1410.618,0.000115,1410618.0,True,1488.253,0.00012,1488253.0,True,1478.145,2.8e-05,1478145.0,True
AL-4_v014,AL-4,Algorithmic,hard,False,1464.223,0.000301,1464223.0,True,673.754,0.000105,673754.0,True,726.352,9.9e-05,726352.0,True,675.417,0.000102,675417.0,True,751.947,2.6e-05,751947.0,True
CF-3_v000,CF-3,Control Flow,hard,False,4.3094,3.753,1.15,False,1.5002,0.5532,2.71,True,1.3006,0.599,2.17,True,1.47,0.5468,2.69,True,1.5252,0.5666,2.69,True
CF-3_v001,CF-3,Control Flow,hard,False,10.528,9.501,1.11,False,3.7628,1.3116,2.87,True,3.9396,1.2436,3.17,True,3.6454,1.3512,2.7,True,3.5572,1.4466,2.46,True
CF-3_v002,CF-3,Control Flow,hard,False,10.7676,9.5454,1.13,False,3.3666,1.2978,2.59,True,3.0914,1.2126,2.55,True,3.2292,1.2972,2.49,True,3.8164,1.3582,2.81,True
CF-3_v003,CF-3,Control Flow,hard,False,4.8366,5.2458,0.92,False,1.2884,0.2624,4.91,True,1.246,0.2414,5.16,True,1.2646,0.2668,4.74,True,1.2468,0.2466,5.06,True
CF-3_v004,CF-3,Control Flow,hard,False,4.4202,3.0642,1.44,False,1.345,0.2606,5.16,True,1.255,0.2636,4.76,True,1.395,0.2816,4.95,True,1.2214,0.2496,4.89,True
CF-3_v005,CF-3,Control Flow,hard,False,4.4312,3.3678,1.32,False,1.5024,0.5554,2.71,True,1.6746,0.5758,2.91,True,1.269,0.4742,2.68,True,1.3132,0.4902,2.68,True
CF-3_v006,CF-3,Control Flow,hard,False,19.715,18.8468,1.05,False,6.3826,2.8428,2.25,True,6.425,2.7208,2.36,True,6.7046,2.7788,2.41,True,7.259,3.0076,2.41,True
CF-3_v007,CF-3,Control Flow,hard,False,3.97,2.989,1.33,False,1.3866,0.299,4.64,True,1.2284,0.2566,4.79,True,1.2018,0.2386,5.04,True,1.1446,0.2328,4.92,True
CF-3_v008,CF-3,Control Flow,hard,False,3.805,3.0366,1.25,False,1.3018,0.2616,4.98,True,1.1394,0.2332,4.89,True,1.1494,0.281,4.09,True,1.0902,0.2322,4.7,True
CF-3_v009,CF-3,Control Flow,hard,False,4.392,4.4442,0.99,False,1.19,0.4584,2.6,True,1.1924,0.487,2.45,True,1.2474,0.4848,2.57,True,1.2668,0.471,2.69,True
CF-3_v010,CF-3,Control Flow,hard,False,11.5476,8.2696,1.4,False,3.3408,1.1694,2.86,True,3.1556,1.251,2.52,True,3.0876,1.2698,2.43,True,3.4296,1.3148,2.61,True
CF-3_v011,CF-3,Control Flow,hard,False,21.4082,17.999,1.19,False,6.234,2.6414,2.36,True,6.9762,2.5646,2.72,True,7.1054,3.0008,2.37,True,7.2668,2.8724,2.53,True
CF-3_v012,CF-3,Control Flow,hard,False,19.4958,20.5378,0.95,False,5.8042,1.2832,4.52,True,6.0334,1.456,4.14,True,6.207,1.4456,4.29,True,5.578,1.4882,3.75,True
